target;séquentielle récursive; séquentielle itérative; parallèle itérative
10 ; 0; 0; 2
20 ; 0; 0; 2
30 ; 0; 0; 1
40 ; 0; 0; 2
50 ; 0; 0; 1
60 ; 1; 0; 2
70 ; 0; 0; 1
80 ; 0; 0; 1
90 ; 0; 1; 2
100 ; 0; 0; 2
200 ; 0; 1; 2
300 ; 0; 2; 2
400 ; 0; 3; 2
500 ; 0; 4; 2
600 ; 0; 4; 3
700 ; 0; 4; 3
800 ; 0; 6; 4
900 ; 0; 5; 3
1000 ; 0; 6; 4
2000 ; 0; 10; 6
3000 ; 0; 15; 8
4000 ; 0; 20; 11
5000 ; 0; 25; 14
6000 ; 0; 32; 16
7000 ; 1; 40; 19
8000 ; 0; 44; 22
9000 ; 0; 51; 25
10000 ; 0; 57; 28
20000 ; 0; 122; 58
30000 ; 0; 185; 88
40000 ; 1; 240; 117
50000 ; 0; 303; 150
60000 ; 2; 367; 183
70000 ; 1; 434; 217
80000 ; 0; 498; 253
90000 ; 1; 568; 287
100000 ; 3; 639; 324
200000 ; 4; 1295; 661
300000 ; 0; 2627; 1313
400000 ; 9; 3949; 1685
500000 ; 3; 3753; 1849
600000 ; 12; 4567; 2192
700000 ; 2; 5443; 2816
800000 ; 7; 5796; 3175
900000 ; 0; 7599; 3520
1000000 ; 3; 7978; 4063
